idStudent,firstNameStudent,lastNameStudent,address,city,phoneNumber,gender,DOB
1,Amanda,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
2,Barbara,Souza,77 O’Connell Street,Dún Laoghaire,35383089644,M,3/21/1985
3,Camila,Almeida,77 O’Connell Street,Dún Laoghaire,35383089644,M,3/21/1985
4,Debora,Almeida,24 Old County Road,Dublin,35383089634,F,3/20/1985
5,Elaine,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
6,Eloisa,Serra,77 O’Connell Street,Dún Laoghaire,35383089644,M,3/21/1985
7,Joana,Santos,77 O’Connell Street,Dún Laoghaire,35383089644,M,3/21/1985
8,Helio,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
9,Felipe,Cunha,24 Old County Road,Dublin,35383089634,F,3/20/1985
10,Rafa,Pereira,24 Old County Road,Dublin,35383089634,F,3/20/1985
11,Suley,Sobreira,24 Old County Road,Dublin,35383089634,F,3/20/1985
12,lorenzo,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
13,Paulo,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
14,Caio,Lor,24 Old County Road,Dublin,35383089634,F,3/20/1985
